Champion,Federation,Reign Duration,Years
Wilhelm Steinitz,Austria,8,1886-1894
Emmanuel Lasker ,Germany,27,1894-1921
Jose Raul Capablanca,Cuba,6,1921-1927
Alexander Alekhine,Russia,17,"1927-1935, 1937-1946"
Max Euwe,Netherlands,2,1935-1937
Mikhail Botvinnik,Russia,13,"1948-1957, 1958-1960, 1961-1963"
Vasily Smyslov,Russia,1,1957-1958
Mikhail Tal,Latvia,1,1960-1961
Tigran Petrosian,Armenia,6,1963-1969
Boris Spassky,Russia,3,1969-1972
Bobby Fischer,United States,3,1972-1975
Anatoly Karpov,Russia,10,1975-1985
Garry Kasparov,Russia,15,1985-2000
Vladimir Kramnik,Russia,7,2000-2007
Viswanathan Anand,India,6,2007-2013
Magnus Carlsen,Norway,10,2013-2023
