Team,Stadium,Capacity,City
Manchester United,Old Trafford,"74,310",Manchester
Tottenham Hotspur,Tottenham Hotspur Stadium,"62,850",London 
West Ham,London Stadium,"62,500",London 
Liverpool,Anfield,"61,276",Liverpool
Arsenal,Emirates Stadium,"60,704",London 
Manchester City,Etihad Stadium,"53,400",Manchester
Newcastle United,St James' Park,"52,305",Newcastle upon Tyne
Aston Villa,Villa Park,"42,530",Birmingham
Chelsea,Stamford Bridge,"40,343",London
Everton,Goodison Park,"39,414",Liverpool
Sheffield United,Bramall Lane,"32,050",Sheffield
Brighton and Hove Albion,AMEX Stadium,"31,876",Brighton
Wolverhampton Wanderers,Molineux,"31,750",Wolverhampton
Nottingham Forest,City Ground,"30,404",Nottingham
Crystal Palace,Selhurst Park,"25,486",London
Fulham,Craven Cottage,"24,500",London
Burnley,Turf Moor,"21,944",Burnley
Brentford,Gtech Community Stadium,"17,250",London
Bournemouth,Vitality Stadium,"11,307",Bournemouth
Luton Town,Kenilworth Road,"10,265",Luton
